[],,,,,,,,,,,,,,,,,,,,
[{'text': 'blind beggar', 'sentiment': {'score': -0.297065, 'label': 'negative'}, 'relevance': 0.943787, 'emotion': {'sadness': 0.612302, 'joy': 0.097384, 'fear': 0.030497, 'disgust': 0.079608, 'anger': 0.136136}}, {'text': '12th child', 'sentiment': {'score': -0.297065, 'label': 'negative'}, 'relevance': 0.837268, 'emotion': {'sadness': 0.612302, 'joy': 0.097384, 'fear': 0.030497, 'disgust': 0.079608, 'anger': 0.136136}}],,,
[{'text': 'buying shoes', 'sentiment': {'score': -0.400938, 'label': 'negative'}, 'relevance': 0.959795, 'emotion': {'sadness': 0.789568, 'joy': 0.062557, 'fear': 0.06237, 'disgust': 0.010251, 'anger': 0.070825}}, {'text': 'mental illness', 'sentiment': {'score': -0.400938, 'label': 'negative'}, 'relevance': 0.872471, 'emotion': {'sadness': 0.789568, 'joy': 0.062557, 'fear': 0.06237, 'disgust': 0.010251, 'anger': 0.070825}}],,,
[{'text': 'Amazon', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.970686, 'emotion': {'sadness': 0.178265, 'joy': 0.142491, 'fear': 0.068972, 'disgust': 0.061775, 'anger': 0.078572}}, {'text': 'PlayStation', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.821515, 'emotion': {'sadness': 0.39088, 'joy': 0.146649, 'fear': 0.166114, 'disgust': 0.113575, 'anger': 0.045599}}],,,
[{'text': 'cest comme si', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.939483, 'emotion': {'sadness': 0.00383, 'joy': 0.036982, 'fear': 0.248046, 'disgust': 0.010905, 'anger': 0.133639}}, {'text': 'toi chaque soir', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.921341, 'emotion': {'sadness': 0.04197, 'joy': 0.108332, 'fear': 0.076454, 'disgust': 0.015669, 'anger': 0.054382}}],,,
[{'text': 'te dar uma', 'sentiment': {'score': -0.450416, 'label': 'negative'}, 'relevance': 0.91212, 'emotion': {'sadness': 0.017461, 'joy': 0.036507, 'fear': 0.084414, 'disgust': 0.005824, 'anger': 0.0186}}, {'text': 'flu', 'sentiment': {'score': -0.450416, 'label': 'negative'}, 'relevance': 0.255318, 'emotion': {'sadness': 0.017461, 'joy': 0.036507, 'fear': 0.084414, 'disgust': 0.005824, 'anger': 0.0186}}],,,
[{'text': 'si le Barca', 'sentiment': {'score': -0.440432, 'label': 'negative'}, 'relevance': 0.969462, 'emotion': {'sadness': 0.291778, 'joy': 0.06921, 'fear': 0.375084, 'disgust': 0.294721, 'anger': 0.151915}}, {'text': 'tre sur que', 'sentiment': {'score': 0.527404, 'label': 'positive'}, 'relevance': 0.947615, 'emotion': {'sadness': 0.151545, 'joy': 0.168835, 'fear': 0.109537, 'disgust': 0.107113, 'anger': 0.08686}}],,,
[{'text': 'monster', 'sentiment': {'score': -0.391054, 'label': 'negative'}, 'relevance': 0.993445, 'emotion': {'sadness': 0.151545, 'joy': 0.174219, 'fear': 0.093654, 'disgust': 0.072945, 'anger': 0.08686}}, {'text': 'anti-starvation', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.738987, 'emotion': {'sadness': 0.355505, 'joy': 0.1529, 'fear': 0.133298, 'disgust': 0.375575, 'anger': 0.206348}}],,,
[{'text': 'maraca veste', 'sentiment': {'score': -0.3309, 'label': 'negative'}, 'relevance': 0.955206, 'emotion': {'sadness': 0.04125, 'joy': 0.112456, 'fear': 0.082446, 'disgust': 0.023077, 'anger': 0.05825}}, {'text': 'Hj', 'sentiment': {'score': -0.3309, 'label': 'negative'}, 'relevance': 0.689507, 'emotion': {'sadness': 0.04125, 'joy': 0.112456, 'fear': 0.082446, 'disgust': 0.023077, 'anger': 0.05825}}],,,
[{'text': 'medical condition bars', 'sentiment': {'score': -0.766003, 'label': 'negative'}, 'relevance': 0.912525, 'emotion': {'sadness': 0.391754, 'joy': 0.055282, 'fear': 0.025735, 'disgust': 0.171907, 'anger': 0.142928}}, {'text': 'tfw', 'sentiment': {'score': -0.766003, 'label': 'negative'}, 'relevance': 0.249689, 'emotion': {'sadness': 0.391754, 'joy': 0.055282, 'fear': 0.025735, 'disgust': 0.171907, 'anger': 0.142928}}],,,
[{'text': 'race condition', 'sentiment': {'score': -0.510918, 'label': 'negative'}, 'relevance': 0.956892, 'emotion': {'sadness': 0.333469, 'joy': 0.156808, 'fear': 0.113986, 'disgust': 0.131836, 'anger': 0.232936}}],,,,,,,,,,,,
[{'text': 'past few decades', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.907179, 'emotion': {'sadness': 0.755359, 'joy': 0.153341, 'fear': 0.10857, 'disgust': 0.023212, 'anger': 0.004697}}, {'text': 'books', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.535087, 'emotion': {'sadness': 0.054815, 'joy': 0.461907, 'fear': 0.157158, 'disgust': 0.028393, 'anger': 0.056164}}],,,
[{'text': 'YT discription', 'sentiment': {'score': -0.228493, 'label': 'negative'}, 'relevance': 0.9451, 'emotion': {'sadness': 0.757937, 'joy': 0.01085, 'fear': 0.295626, 'disgust': 0.064637, 'anger': 0.122117}}, {'text': 'RT', 'sentiment': {'score': 0.274453, 'label': 'positive'}, 'relevance': 0.821339, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'current data', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.924486, 'emotion': {'sadness': 0.120693, 'joy': 0.087083, 'fear': 0.103502, 'disgust': 0.038134, 'anger': 0.035704}}, {'text': 'Dont', 'sentiment': {'score': -0.590449, 'label': 'negative'}, 'relevance': 0.84851, 'emotion': {'sadness': 0.229199, 'joy': 0.140019, 'fear': 0.275311, 'disgust': 0.155857, 'anger': 0.184534}}],,,
[{'text': 'RT', 'sentiment': {'score': 0.283517, 'label': 'positive'}, 'relevance': 0.910699, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}, {'text': '_GlitterAndGlam', 'sentiment': {'score': 0.283517, 'label': 'positive'}, 'relevance': 0.76054}],,,,,,,,
[{'text': 'Palestinian Ministry', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.973013, 'emotion': {'sadness': 0.075031, 'joy': 0.414256, 'fear': 0.206163, 'disgust': 0.051536, 'anger': 0.106514}}, {'text': 'injured people', 'sentiment': {'score': -0.542852, 'label': 'negative'}, 'relevance': 0.888602, 'emotion': {'sadness': 0.550961, 'joy': 0.133927, 'fear': 0.035637, 'disgust': 0.176963, 'anger': 0.144537}}],,,
[{'text': 'peasants', 'sentiment': {'score': -0.42119, 'label': 'negative'}, 'relevance': 0.913498, 'emotion': {'sadness': 0.065429, 'joy': 0.395277, 'fear': 0.03227, 'disgust': 0.088303, 'anger': 0.023476}}, {'text': 'RT', 'sentiment': {'score': 0.226279, 'label': 'positive'}, 'relevance': 0.880145, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'Clarks Bonnington Lace', 'sentiment': {'score': 0.475682, 'label': 'positive'}, 'relevance': 0.963418, 'emotion': {'sadness': 0.135943, 'joy': 0.351942, 'fear': 0.050021, 'disgust': 0.069179, 'anger': 0.046756}}, {'text': 'original box Size', 'sentiment': {'score': 0.475682, 'label': 'positive'}, 'relevance': 0.590224, 'emotion': {'sadness': 0.135943, 'joy': 0.351942, 'fear': 0.050021, 'disgust': 0.069179, 'anger': 0.046756}}],,,
[{'text': 'VITAMIN', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.920051, 'emotion': {'sadness': 0.166119, 'joy': 0.136906, 'fear': 0.113276, 'disgust': 0.097411, 'anger': 0.170368}}, {'text': 'RT', 'sentiment': {'score': 0.202015, 'label': 'positive'}, 'relevance': 0.789552, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'smile', 'sentiment': {'score': 0.692089, 'label': 'positive'}, 'relevance': 0.977511, 'emotion': {'sadness': 0.002478, 'joy': 0.860488, 'fear': 0.009924, 'disgust': 0.003143, 'anger': 0.002773}}],,,,,,,,,,,,
[{'text': 'Amyloid blood biomarker', 'sentiment': {'score': -0.739388, 'label': 'negative'}, 'relevance': 0.976671, 'emotion': {'sadness': 0.286157, 'joy': 0.455453, 'fear': 0.255636, 'disgust': 0.006282, 'anger': 0.063157}}, {'text': 'Alzheimers disease https://t.co/K4AwNdxAgM', 'sentiment': {'score': -0.739388, 'label': 'negative'}, 'relevance': 0.836344, 'emotion': {'sadness': 0.286157, 'joy': 0.455453, 'fear': 0.255636, 'disgust': 0.006282, 'anger': 0.063157}}],,,
[{'text': 'que je le', 'sentiment': {'score': 0.520696, 'label': 'positive'}, 'relevance': 0.999914, 'emotion': {'sadness': 0.216069, 'joy': 0.273935, 'fear': 0.110355, 'disgust': 0.10362, 'anger': 0.063961}}, {'text': 'nai jamais pens', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.727289, 'emotion': {'sadness': 0.121653, 'joy': 0.135807, 'fear': 0.250579, 'disgust': 0.144044, 'anger': 0.370643}}],,,
[{'text': 'tre rendus accessibles', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.91673, 'emotion': {'sadness': 0.151545, 'joy': 0.174219, 'fear': 0.093654, 'disgust': 0.072945, 'anger': 0.08686}}, {'text': 'Comme vous le', 'sentiment': {'score': 0.652488, 'label': 'positive'}, 'relevance': 0.89971, 'emotion': {'sadness': 0.248142, 'joy': 0.343351, 'fear': 0.090524, 'disgust': 0.072197, 'anger': 0.051366}}],,,
[{'text': 'bro', 'sentiment': {'score': -0.857617, 'label': 'negative'}, 'relevance': 0.985309, 'emotion': {'sadness': 0.73819, 'joy': 0.017021, 'fear': 0.383858, 'disgust': 0.056747, 'anger': 0.086286}}, {'text': 'headache', 'sentiment': {'score': -0.857617, 'label': 'negative'}, 'relevance': 0.851126, 'emotion': {'sadness': 0.73819, 'joy': 0.017021, 'fear': 0.383858, 'disgust': 0.056747, 'anger': 0.086286}}],,,
[{'text': 'amp', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.979546}, {'text': 'answer', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.822004, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,,,,,,
[{'text': 'gay people', 'sentiment': {'score': -0.375923, 'label': 'negative'}, 'relevance': 0.96476, 'emotion': {'sadness': 0.535243, 'joy': 0.049701, 'fear': 0.123285, 'disgust': 0.245276, 'anger': 0.35236}}, {'text': 'RT', 'sentiment': {'score': 0.237596, 'label': 'positive'}, 'relevance': 0.784826, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'natural hair', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.919416, 'emotion': {'sadness': 0.090137, 'joy': 0.789116, 'fear': 0.060625, 'disgust': 0.02083, 'anger': 0.021493}}, {'text': 'pun', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.809126, 'emotion': {'sadness': 0.151545, 'joy': 0.174219, 'fear': 0.093654, 'disgust': 0.072945, 'anger': 0.08686}}],,,
[{'text': 'charity cycle', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.998173, 'emotion': {'sadness': 0.331866, 'joy': 0.489857, 'fear': 0.027461, 'disgust': 0.124205, 'anger': 0.029075}}, {'text': 'RT', 'sentiment': {'score': 0.461359, 'label': 'positive'}, 'relevance': 0.801486, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
